year,sex,bin_index,pop,lower,upper,label,CRS_relevant
2034,M,3,604761,2,2,2,FALSE
2034,M,4,603668,3,3,3,FALSE
2034,M,5,602688,4,4,4,FALSE
2034,M,6,601601,5,5,5,FALSE
2034,M,7,600364,6,6,6,FALSE
2034,M,8,599006,7,7,7,FALSE
2034,M,9,597575,8,8,8,FALSE
2034,M,10,596183,9,9,9,FALSE
2034,M,11,593753,10,10,10,FALSE
2034,M,12,591742,11,11,11,FALSE
2034,M,13,606910,12,12,12,FALSE
2034,M,14,610534,13,13,13,FALSE
2034,M,15,591766,14,14,14,FALSE
2034,M,16,2721861,15,19,15-19,TRUE
2034,M,17,2852655,20,24,20-24,TRUE
2034,M,18,2872353,25,29,25-29,TRUE
2034,M,19,2533654,30,34,30-34,TRUE
2034,M,20,2586468,35,39,35-39,TRUE
2034,M,21,2601849,40,44,40-44,TRUE
2034,M,22,2428390,45,49,45-49,FALSE
2034,M,23,2048014,50,54,50-54,FALSE
2034,M,24,1494713,55,59,55-59,FALSE
2034,M,25,1110237,60,64,60-64,FALSE
2034,M,26,825912,65,69,65-69,FALSE
2034,M,27,635387,70,74,70-74,FALSE
2034,M,28,782785,75,Inf,75+,FALSE
2035,F,1,591121,0,0,0,FALSE
2035,F,2,589246,1,1,1,FALSE
2035,F,3,588328,2,2,2,FALSE
2035,F,4,587971,3,3,3,FALSE
2035,F,5,587736,4,4,4,FALSE
2035,F,6,587361,5,5,5,FALSE
2035,F,7,586725,6,6,6,FALSE
2035,F,8,585813,7,7,7,FALSE
2035,F,9,584695,8,8,8,FALSE
2035,F,10,583513,9,9,9,FALSE
2035,F,11,582324,10,10,10,FALSE
2035,F,12,579745,11,11,11,FALSE
2035,F,13,577510,12,12,12,FALSE
2035,F,14,602298,13,13,13,FALSE
2035,F,15,614698,14,14,14,FALSE
2035,F,16,2803856,15,19,15-19,TRUE
2035,F,17,2826661,20,24,20-24,TRUE
2035,F,18,2931533,25,29,25-29,TRUE
2035,F,19,2558096,30,34,30-34,TRUE
2035,F,20,2641683,35,39,35-39,TRUE
2035,F,21,2743844,40,44,40-44,TRUE
2035,F,22,2587603,45,49,45-49,FALSE
2035,F,23,2255253,50,54,50-54,FALSE
2035,F,24,1739639,55,59,55-59,FALSE
2035,F,25,1402308,60,64,60-64,FALSE
2035,F,26,1182505,65,69,65-69,FALSE
2035,F,27,995359,70,74,70-74,FALSE
2035,F,28,1499532,75,Inf,75+,FALSE
2035,M,1,610824,0,0,0,FALSE
2035,M,2,607906,1,1,1,FALSE
2035,M,3,606092,2,2,2,FALSE
2035,M,4,604949,3,3,3,FALSE
2035,M,5,604105,4,4,4,FALSE
2035,M,6,603247,5,5,5,FALSE
2035,M,7,602206,6,6,6,FALSE
2035,M,8,600967,7,7,7,FALSE
2035,M,9,599582,8,8,8,FALSE
2035,M,10,598104,9,9,9,FALSE
2035,M,11,596653,10,10,10,FALSE
2035,M,12,594155,11,11,11,FALSE
2035,M,13,592066,12,12,12,FALSE
2035,M,14,607136,13,13,13,FALSE
2035,M,15,610683,14,14,14,FALSE
2035,M,16,2797330,15,19,15-19,TRUE
2035,M,17,2828542,20,24,20-24,TRUE
2035,M,18,2912036,25,29,25-29,TRUE
2035,M,19,2544398,30,34,30-34,TRUE
2035,M,20,2554678,35,39,35-39,TRUE
2035,M,21,2586973,40,44,40-44,TRUE
2035,M,22,2447889,45,49,45-49,FALSE
2035,M,23,2112662,50,54,50-54,FALSE
2035,M,24,1568581,55,59,55-59,FALSE
2035,M,25,1137996,60,64,60-64,FALSE
2035,M,26,841325,65,69,65-69,FALSE
