year,sex,age,mu
2034,F,8,3.257972155337789e-4
2034,F,9,3.257972155337789e-4
2034,F,10,3.688579314244816e-4
2034,F,11,3.688579314244816e-4
2034,F,12,3.688579314244816e-4
2034,F,13,3.688579314244816e-4
2034,F,14,3.688579314244816e-4
2034,F,15,8.250614783475961e-4
2034,F,16,8.250614783475961e-4
2034,F,17,8.250614783475961e-4
2034,F,18,8.250614783475961e-4
2034,F,19,8.250614783475961e-4
2034,F,20,0.001411714643493571
2034,F,21,0.001411714643493571
2034,F,22,0.001411714643493571
2034,F,23,0.001411714643493571
2034,F,24,0.001411714643493571
2034,F,25,0.002372059215210044
2034,F,26,0.002372059215210044
2034,F,27,0.002372059215210044
2034,F,28,0.002372059215210044
2034,F,29,0.002372059215210044
2034,F,30,0.0034345909435766807
2034,F,31,0.0034345909435766807
2034,F,32,0.0034345909435766807
2034,F,33,0.0034345909435766807
2034,F,34,0.0034345909435766807
2034,F,35,0.0045237839855974595
2034,F,36,0.0045237839855974595
2034,F,37,0.0045237839855974595
2034,F,38,0.0045237839855974595
2034,F,39,0.0045237839855974595
2034,F,40,0.005851005117269003
2034,F,41,0.005851005117269003
2034,F,42,0.005851005117269003
2034,F,43,0.005851005117269003
2034,F,44,0.005851005117269003
2034,F,45,0.007149447332683666
2034,F,46,0.007149447332683666
2034,F,47,0.007149447332683666
2034,F,48,0.007149447332683666
2034,F,49,0.007149447332683666
2034,F,50,0.009087216279831407
2034,F,51,0.009087216279831407
2034,F,52,0.009087216279831407
2034,F,53,0.009087216279831407
2034,F,54,0.009087216279831407
2034,F,55,0.012486818334006985
2034,F,56,0.012486818334006985
2034,F,57,0.012486818334006985
2034,F,58,0.012486818334006985
2034,F,59,0.012486818334006985
2034,F,60,0.017015415608705887
2034,F,61,0.017015415608705887
2034,F,62,0.017015415608705887
2034,F,63,0.017015415608705887
2034,F,64,0.017015415608705887
2034,F,65,0.0248104172811972
2034,F,66,0.0248104172811972
2034,F,67,0.0248104172811972
2034,F,68,0.0248104172811972
2034,F,69,0.0248104172811972
2034,F,70,0.035422034336209524
2034,F,71,0.035422034336209524
2034,F,72,0.035422034336209524
2034,F,73,0.035422034336209524
2034,F,74,0.035422034336209524
2034,F,75,0.05222998341716349
2034,F,76,0.05222998341716349
2034,F,77,0.05222998341716349
2034,F,78,0.05222998341716349
2034,F,79,0.05222998341716349
2034,F,80,0.07257443284896009
2034,F,81,0.07257443284896009
2034,F,82,0.07257443284896009
2034,F,83,0.07257443284896009
2034,F,84,0.07257443284896009
2034,F,85,0.10695791246408985
2034,F,86,0.10695791246408985
2034,F,87,0.10695791246408985
2034,F,88,0.10695791246408985
2034,F,89,0.10695791246408985
2034,F,90,0.15552884314067958
2034,F,91,0.15552884314067958
2034,F,92,0.15552884314067958
2034,F,93,0.15552884314067958
2034,F,94,0.15552884314067958
2034,F,95,0.22416160431172946
2034,F,96,0.22416160431172946
2034,F,97,0.22416160431172946
2034,F,98,0.22416160431172946
2034,F,99,0.22416160431172946
2034,F,100,0.22416160431172946
2034,M,0,0.021354952529793855
2034,M,1,0.0019785990937463242
2034,M,2,0.0019785990937463242
2034,M,3,0.0019785990937463242
2034,M,4,0.0019785990937463242
2034,M,5,5.000465958415461e-4
2034,M,6,5.000465958415461e-4
2034,M,7,5.000465958415461e-4
2034,M,8,5.000465958415461e-4
2034,M,9,5.000465958415461e-4
2034,M,10,5.509742350795013e-4
2034,M,11,5.509742350795013e-4
2034,M,12,5.509742350795013e-4
2034,M,13,5.509742350795013e-4
2034,M,14,5.509742350795013e-4
2034,M,15,0.0013155149788793335
2034,M,16,0.0013155149788793335
